Name,Category,Description,Price
BK Veggie Burger,Burgers & Wraps,"Our Tribute To Classic American Taste. Bk Veg Patty, Garden Fresh Crispy Lettuce, Juicy Tomato(seasonal) & Our Signature Sauce",139.0
BK Chicken Burger,Burgers & Wraps,"Our tribute to classic American taste. The new BK Chicken now has 50%* More Chicken. Enjoy this burger in a Crunchy Chicken patty, garden fresh crispy lettuce, juicy tomato(seasonal) & our signature sauce.",149.0
Hot 'N' Saucy Burger,Kings Premium Burgers,"Chilli Saucy patty, spicy sauce, soft square masala buns. It's saucy & spicy.",199.0
Paneer Royale Burger,Kings Premium Burgers,"Thick Paneer Patty, loads of sauces in soft square masala buns. It's Royally Paneer.",199.0
Fiery Chicken Burger,Kings Premium Burgers,"Spicy Fried Chicken, loads of sauces in soft square masala buns. It's hot and happening.",199.0
Chicken Tandoori Burger,Kings Premium Burgers,"Desiness Alert! Flame grilled Tandoori Chicken, mint sauce with fresh onions.",199.0
Crispy Veg Double Patty + Crispy Veg Double Patty,Burger Doubles.,Two Crispy Veg Double Patty,198.0
Veg Makhani Burst + Whopper Jr Veg,Burger Doubles.,Veg Makhani Burst + Lite Whopper Jr Veg,229.0
Chicken Whopper + Chicken Whopper,Burger Doubles.,No description,398.0
BK Veggie Burger + BK Veggie Burger,Burger Doubles.,BK Veggie Burger and BK Veggie Burger,278.0
Crispy Chicken Double Patty + Crispy Chicken Double Patty,Burger Doubles.,Two Crispy Chicken Double Patty,278.0
Chicken Makhani Burst + Whopper Jr Chicken,Burger Doubles.,Chicken Makhani Burst + Lite Whopper Jr Chicken,269.0
BK Chicken Burger + BK Chicken Burger,Burger Doubles.,Two BK Chicken Burger,298.0
Veg Whopper + Veg Whopper,Burger Doubles.,Two Veg Whopper,358.0
2 Crispy Veg,Burger Doubles.,No description,140.0
Crispy Veg Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Our best-selling burger with crispy veg patty, fresh onion and our signature sauce. Comes with Fries (M) + Medium Soft Drink (Cola)",229.0
Crispy Chicken Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Our best-selling burger with crispy chicken patty, onion and classic mayo sauce. Comes with Fries (M) + Medium Soft Drink (Cola)",267.0
Whopper Jr Veg Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Our signature Whopper with 7 layers between the buns in a convenient size. Extra crunchy veg Patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces. Comes with Fries (M) + Medium Soft Drink (Cola)",268.0
Whopper Jr Chicken Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Our signature Whopper with 7 layers between the buns in a convenient size. Flame Grilled chicken Patty, fresh onion, crispy lettuce, juicy tomatoes, tangy gherkins, creamy and smoky sauces. Comes with Fries (M) + Medium Soft Drink (Cola)",288.0
Veg Whopper Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Our signature Whopper with 7 layers between the buns. Extra crunchy veg Patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with xxl buns. It?s Not A Burger, it?s a Whopper. Comes with Fries (M) + Medium Soft Drink (Cola)",328.0
Chicken Whopper Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Our signature Whopper with 7 layers between the buns. Flame Grilled chicken Patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with xxl buns. It?s Not A Burger, it?s a Whopper. Comes with Fries (M) + Medium Soft Drink (Cola)",358.0
Hot 'N' Saucy Burger Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Chilli Saucy patty, spicy sauce, soft square masala buns. It's saucy & spicy. Comes with Fries (M) + Medium Soft Drink (Cola)",348.0
Fiery Chicken Burger Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Spicy Fried Chicken, loads of sauces in soft square masala buns. It's hot and happening. Comes with Fries (M) + Medium Soft Drink (Cola)",368.0
Paneer Royale Burger Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Thick Paneer Patty, loads of sauces in soft square masala buns. It's Royally Paneer. Comes with Fries (M) + Medium Soft Drink (Cola)",358.0
Chicken Tandoori Burger Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Desiness Alert! Flame grilled Tandoori Chicken, mint sauce with fresh onions. Comes with Fries (M) + Medium Soft Drink (Cola)",348.0
Mutton Whopper - Combo,Meal Combos(Save Rs. 45),"Save Rs 45 | Spicy, Saucy & Desi Masala Whopper for a limited time. Comes with Fries (M) + Medium Soft Drink (Cola)",448.0
(4Pc) Crunchy Chicken Nuggets,Sides,Tender Juicy Crunchy Chicken Nuggets fried to golden brown perfection,95.0
(6Pc) Crunchy Chicken Nuggets + 1 Dip,Sides,Tender Juicy Crunchy Chicken Nuggets fried to golden brown perfection. Served with Fiery Hell Dip,169.0
(9Pc) Crunchy Chicken Nuggets + 2 Dips,Sides,Tender Juicy Crunchy Chicken Nuggets fried to golden brown perfection. Served with Fiery Hell Dip,199.0
(18Pcs) Crunchy Chicken Nuggets + 3 Dips,Sides,Tender Juicy Crunchy Chicken Nuggets fried to golden brown perfection. Served with Fiery Hell Dip,319.0
Fiery Hell Dip,Sides,Chef's Special Spicy Sauce,23.81
Hashbrown,Sides,What Every Potato Wants To Be,49.0
Peri Peri Spice Mix,Sides,No description,28.57
Veggie Strips(5 Pcs),Sides,Vegetarian's Favourite Finger Food,59.0
Medium Fries,Sides,The Perfect Crispy Partner,115.0
King Fries,Sides,The Perfect Crispy Partner,130.0
Medium Peri Peri Fries,Sides,Crispy Fries With Peri Peri Spice. Hot Indeed,144.0
King Peri Peri Fries,Sides,Crispy Fries With Peri Peri Spice. Hot Indeed,159.0
Peri Peri Fries,Sides,Crispy fries with peri peri spice. Hot indeed.,144.0
Medium Soft Drink (Cola),Beverages,No description,95.0
Chocolate Thick Shake,Beverages,Our Signature Chocolate Thick Shake,189.0
Mango Thick Shake,Beverages,Our Signature Mango Thick Shake,189.0
Berry Blast Thick Shake,Beverages,Rich Creamy Black Currant Thick shake,189.0
Medium Soft Drink (Diet Cola),Beverages,No description,95.0
Choco Lava Cup,Desserts,Melty Chocolate filled in cupcake,109.0
Chocolate Mousse Cup,Desserts,Airy and creamy chocolate mousse topped with chocolate ganache and choco chips,109.0
Chicken Wings Fried - Two Pieces,Chicken Wings.,Juicy chicken wings cooked to perfection.,79.0
Chicken Wings Fried - Four Pieces,Chicken Wings.,Juicy chicken wings cooked to perfection.,149.0
Chicken Wings Fried - Ten Pieces,Chicken Wings.,Juicy chicken wings cooked to perfection.,349.0
Chicken Wings Fried - Fifteen Pieces,Chicken Wings.,Juicy chicken wings cooked to perfection.,529.0
Boneless Wings Regular,Chicken Wings.,4pcs Boneless Chicken Bites,159.0
Boneless Wings Large,Chicken Wings.,7pcs Boneless Chicken Bites,269.0
